"keys","en","cn"
"FH4X","Lucky Dice","幸运骰子"
"0URL","Scepter of the Lunar Light","月华权杖"
"TMBN","Magic Hammer","魔法战锤"
"ZZ5Y","Battle Suit","战斗护甲"
"A9H7","Zombie Head","僵尸头颅"
"QLZQ","Morgul Slave","鱼人奴隶"
"A7JW","Tiny Rabbit","迷你兔"
"QZ8C","Flaming Arrow","烈焰箭"
"U8MG","Bhaal's Essence","巴尔的精髓"
"G5Y7","Electrified Horseshoe","闪电马蹄铁"
"GPPH","War Drum","战鼓"
"RCZ4","Silver Armor","纯银护甲"
"RECP","Flag of the Allegiance","联盟旗帜"
"JLON","Golden Decoration","金色徽章"
"8UB3","Jewels of the Moon","月之宝石"
"E2YS","Magic Vial","魔法小瓶"
"N1SB","Small Stone","小石块"
"65N5","Fairy's Wand","妖精魔杖"
"IDBQ","Fancy Lights","奇幻之光"
"XCLK","Floating Mark","浮空印记"
"R759","Blunt Club","钝木棒"
"FCW3","Ledger","账册"
"SZUJ","Collection of Stories","故事集"
"ES0C","Old Spear","旧矛"
"CKKT","Primitive Flute","原始骨笛"
"UABJ","Wooden Leg","木制义肢"
"XVJ2","Axe of Decapitation","斩首斧"
"6EET","Void Vial","虚空小瓶"
"PBZQ","Claws of Ursus","厄萨斯之爪"
"MSQM","Claws of Wisdom","智慧之爪"
"N4A2","Inscribed Bark","铭文树皮"
"NLSH","Rusted Rifle","锈蚀步枪"
"D348","Short Sword","短剑"
"U5XS","Pillage Tools","劫掠工具"
"95D9","Touch of a Spirit","精神之触"
"A39Y","Periscope","潜望镜"
"YMX0","Ancient Inscribed Bark","远古铭文树皮"
"KW6N","Blessed Holy Scepter","神圣权杖"
"2UHB","Blunderbuss Rifle","霰弹枪"
"9I8Y","Thick Tree Branch","粗树枝"
"0P87","Undead Spiked Claws","亡灵尖爪"
"KQQC","Dull Axe","钝斧"
"1H45","Hunting Map","狩猎地图"
"IG25","Shimmerweed","莹光草"
"11NJ","Inscribed Pebble","铭文卵石"
"PG0V","Gift of the Wild","野性祝福"
"RC6E","Mining Lamp","矿灯"
"NTSK","Voodoo Doll","巫毒人偶"
"K3L9","Spiked Club","尖刺棍棒"
"APSD","Mini Tank","迷你坦克"
"MQZ9","Faded Gloves","褪色手套"
"60AW","Rusty Mining Pick","锈蚀矿镐"
"8GA6","Arcane Eye","奥术之眼"
"0CGR","Thunder Gloves","雷霆手套"
"8DF1","Polarisator","磁化器"
"9TNT","Priest Figurine","牧师雕像"
"1S6L","Old Crystal Ball","老旧水晶球"
"I2CQ","Spiderling","小蜘蛛"
"43KF","Spider Silk","蜘蛛丝"
"HUOE","Troll Voodoo Mask","巨魔巫毒面具"
"N460","Expanding Mind","延伸智慧"
"0ZK2","Magic Flower","魔力花朵"
"G0DX","Mark of the Talon","猛禽印记"
"GP7N","Mark of the Claw","利爪印记"
"DIHS","Flawless Sapphire","无瑕蓝宝石"
"9BH6","Small Orb","小法球"
"RYOA","Support Column","支撑柱"
"8QJN","Obsidian Figurine","黑曜石雕像"
"893D","Shadowfoot's Mantle","影足披风"
"KADB","Blood Crown","血冠"
"N0EW","Sage's Mask","贤者面具"
"RYDJ","Knowing Mind","通晓之智"
"VR0B","Purifying Gloves","净化手套"
"IYJ1","Basic Wand","基础魔杖"
"WUWK","Medallion of Opulence","丰饶徽章"
"VQVV","Troll Charm","巨魔护符"
"M4Y0","Scroll of Piercing Magic","魔法穿透卷轴"
"UGTS","Mystical Shell","秘法之壳"
"4G3T","Forcefield Generator","力场生成器"
"LTMA","Crescent Stone","弦月石"
"2HO9","Dumpster","垃圾箱"
"0NGU","Plain Staff","素朴法杖"
"QJJV","Hippogryph Egg","狮鹫蛋"
"P0DV","Mana Stone","法力石"
"Z65L","Dagger of Bane","灾祸匕首"
"BX1A","The Sucona","尖刺利爪"
"PEP7","Beast Head","野兽头颅"
"QJHT","Training Manual","训练手册"
"F076","Grand Seal of Pickiness","挑剔大印"
"CSKE","Pendant of Promptness","迅捷坠饰"
"943G","Bartuc's Spirit","巴图克之魂"
"YF4N","Diamond of Greed","贪婪钻石"
"FVLQ","Chrono Jumper","时空跳跃者"
"9IIE","Magician's Doorkey","法师门钥"
"QY11","Jah'Rakal's Fury","贾拉卡之怒"
"GCX5","Blunt Dagger","钝匕首"
"7C7V","Wanted List","通缉令"
"ND8H","Shiny Emerald","闪翠玉"
"EGWN","Toy Boy","玩具男孩"
"FK8S","Dull Gem","黯淡宝石"
"824L","Naga Trident","娜迦三叉戟"
"T4EL","Jungle Stalker's Doll","丛林追猎者人偶"
"J40U","Panda Dress","熊猫服饰"
"7WCC","Wise Man's Cooking Recipe","智者食谱"
"HLAH","Writer's Knowledge","文士学识"
"SMCK","Ring of Luck","幸运指环"
"3N6Z","Elite Sharp Shooter","精英神射手"
"9RGG","Holy Axe","圣斧"
"8BIM","Sign of Energy Infusion","能量灌注符记"
"A2TC","Enchanted Bird Figurine","附魔鸟雕像"
"16L5","Mining Tools","采矿工具"
"OFMW","Charged Disk","充能圆盘"
"XBFN","Young Thief's Cloak","小偷斗篷"
"L64Z","Commander","指挥官"
"G572","Glaive of Supreme Follow Up","至高追击战镰"
"JX75","Skull Trophy","颅骨战利品"
"UOIS","Tooth Trophy","獠牙战利品"
"6PC0","Basics of Calculus","微积分基础"
"R1MB","Wand of Mana Zap","退魔法杖"
"WCZ2","Never-ending Keg","无尽酒桶"
"T5PV","Scarab Amulet","圣甲虫护符"
"2CCE","Tree Branch","树枝"
"YI1H","Crystallized Scales","结晶鳞片"
"2N2I","Eternium Blade","永恒之刃"
"MILV","Sacred Halo","神圣光轮"
"IYDV","Railgun","磁轨炮"
"LIZF","Essence of Rot","腐化精粹"
"V523","Toxic Chemicals","剧毒药剂"
"BM8C","Runed Wood","符文木"
"V15N","Undead Claws","亡灵之爪"
"OLSP","Dark Matter Trident","暗物质三叉戟"
"XF5V","Ritual Talisman","仪式护符"
"TK8Q","Libram of Grace","优雅圣契"
"ZSY2","Bloodthirsty Wheel of Fortune","嗜血命运轮"
"3R1F","Spider Broach","蜘蛛胸针"
"QEQR","Mighty Tree's Acorns","巨树橡果"
"S7YY","Soul Collectors Cloak","集魂斗篷"
"IDOX","Sniper","狙击手"
"1TJZ","Liquid Gold","液态黄金"
"7RUV","Ogre Staff of Wisdom","食人魔智慧法杖"
"IRYI","Staff of the Wild Equus","野马法杖"
"TKNH","Heavy Crossbow","重弩"
"95HR","Demonic Orb","恶魔法球"
"80LH","Speed Demon's Reward","疾风之酬"
"BD7M","Deep Shadows","深邃暗影"
"6CUZ","Staff of Essence","精粹法杖"
"T750","Bones of Essence","精粹之骨"
"86N8","Aqueous Vapor","水汽"
"U7NN","Glowing Gauntlets","辉光护手"
"VXY9","Magnetic Field","磁场"
"1SVJ","Frog Pipe","蛙形烟斗"
"8ZTQ","Dowsing Rod","探矿杖"
"Y3QD","Spellbook of Item Mastery","物品精通魔典"
"KJV4","Even More Magical Hammer","超魔战锤"
"Q2O3","Optimist's Preserved Face","乐观者防腐面"
"VWRS","Sword of Reckoning","审判之剑"
"2YZ0","Sparkling Staff","星辉法杖"
"H1YN","Sword of Decay","腐朽之剑"
"QM8H","Mindleecher","心智窃取者"
"YRS9","M.E.F.I.S. Rocket","梅菲斯火箭"
"IE8U","Fragmentation Round","破片弹"
"U6X3","Grounding Gloves","接地手套"
"URN0","Orb of Souls","灵魂法球"
"W8DV","Bloodthirsty Axe","嗜血战斧"
"AFSR","Shining Rock","闪耀岩石"
"VCER","Lich Mask","巫妖面具"
"6X0N","Brimstone Helmet","硫火头盔"
"Q11Q","Overcharge Shot","超载射击"
"D6BS","Pendant of Mana Supremacy","法力至上坠饰"
"MVCO","Share Knowledge","知识共享"
"YB9C","Blaster Staff","冲击法杖"
"G60E","Enchanted Telescope","附魔望远镜"
"XASQ","Nermind's Eye","涅尔之眼"
"EXXO","Eye of True Sight","真视之眼"
"ZKHH","Book of Knowledge","知识之书"
"VG7L","Iron Leg","铁制义肢"
"ZHWH","Master Thief's Shroud","神偷裹布"
"DI5V","Fiery Assassination Arrow","炽炎刺杀箭"
"8MKA","Unstable Current","不稳电流"
"O3RW","Lunar Essence","月之精粹"
"4M3J","Bloody Key","血钥匙"
"GC5M","Razor Sharp Dagger","锋锐匕首"
"9RGK","The Divine Wings of Tragedy","悲剧神翼"
"KU11","Currency Converter","货币转换器"
"ZI6Z","Ring of Chance","机遇指环"
"HRXD","Strange Item","奇异物品"
"8G8S","Elegant Ring","雅致指环"
"TB7D","Hermit Staff","隐士法杖"
"NU7R","Veteran's Tome of Battle","老兵战典"
"WKFJ","Enchanted Gear","附魔齿轮"
"T30T","Secret Tome of Magic","秘法魔典"
"5VRD","Secret Tome of Mana","法力秘典"
"UVJW","Mini Forest Troll","迷你森林巨魔"
"PMHJ","Holy Hand Grenade","神圣手雷"
"VYZD","Old Hunter","老猎人"
"RCY0","Monocle","单片镜"
"J3F3","Arms Dealer","军火商"
